id,gateway_id,pkt_date_and_time,pkt_rssi,pkt_snr,pkt_data,pkt_size,pkt_longitude,pkt_latitude
1,240AC4F01E023E3C,2018-02-06T15:14:31.677078Z,-51,6,"{""time"": ""2018-02-06T15:14:31.536828Z"", ""gtiD"": ""240AC4F01E025FF4""}",67,4.58,0.55
2,240AC4F01E0286DC,2018-02-06T15:14:31.673436Z,-44,7,"{""time"": ""2018-02-06T15:14:31.536828Z"", ""gtiD"": ""240AC4F01E025FF4""}",67,4.58,0.55
3,240AC4F01E025FF4,2018-02-06T15:14:34.308128Z,-44,7,"{""time"": ""2018-02-06T15:14:34.171153Z"", ""gtiD"": ""240AC4F01E0286DC""}",67,1.5,9.05
4,240AC4F01E023E3C,2018-02-06T15:14:34.311056Z,-45,7,"{""time"": ""2018-02-06T15:14:34.171153Z"", ""gtiD"": ""240AC4F01E0286DC""}",67,1.5,9.05
5,240AC4F01E023C54,2018-02-06T15:14:34.312091Z,-40,7,"{""time"": ""2018-02-06T15:14:34.171153Z"", ""gtiD"": ""240AC4F01E0286DC""}",67,1.5,9.05
6,240AC4F01E0286DC,2018-02-06T15:14:34.729373Z,-41,7,"{""time"": ""2018-02-06T15:14:34.595861Z"", ""gtiD"": ""240AC4F01E023C54""}",67,4.58,9.05
7,240AC4F01E023E3C,2018-02-06T15:14:34.731878Z,-53,6,"{""time"": ""2018-02-06T15:14:34.595861Z"", ""gtiD"": ""240AC4F01E023C54""}",67,4.58,9.05
8,240AC4F01E025FF4,2018-02-06T15:14:34.729043Z,-44,7,"{""time"": ""2018-02-06T15:14:34.595861Z"", ""gtiD"": ""240AC4F01E023C54""}",67,4.58,9.05
9,240AC4F01E025FF4,2018-02-06T15:14:40.396069Z,-51,7,"{""time"": ""2018-02-06T15:14:40.261651Z"", ""gtiD"": ""240AC4F01E023E3C""}",67,0.33,0.66
10,240AC4F01E023C54,2018-02-06T15:14:40.400045Z,-53,6,"{""time"": ""2018-02-06T15:14:40.261651Z"", ""gtiD"": ""240AC4F01E023E3C""}",67,0.33,0.66
11,240AC4F01E023E3C,2018-02-06T15:14:41.677862Z,-51,7,"{""time"": ""2018-02-06T15:14:41.537525Z"", ""gtiD"": ""240AC4F01E025FF4""}",67,4.58,0.55
12,240AC4F01E023C54,2018-02-06T15:14:41.679020Z,-44,7,"{""time"": ""2018-02-06T15:14:41.537525Z"", ""gtiD"": ""240AC4F01E025FF4""}",67,4.58,0.55
13,240AC4F01E0286DC,2018-02-06T15:14:40.395392Z,-47,7,"{""time"": ""2018-02-06T15:14:40.261651Z"", ""gtiD"": ""240AC4F01E023E3C""}",67,0.33,0.66
14,240AC4F01E0286DC,2018-02-06T15:14:41.674409Z,-45,6,"{""time"": ""2018-02-06T15:14:41.537525Z"", ""gtiD"": ""240AC4F01E025FF4""}",67,4.58,0.55
15,240AC4F01E025FF4,2018-02-06T15:14:44.308300Z,-44,7,"{""time"": ""2018-02-06T15:14:44.171156Z"", ""gtiD"": ""240AC4F01E0286DC""}",67,1.5,9.05
16,240AC4F01E023E3C,2018-02-06T15:14:44.310970Z,-47,7,"{""time"": ""2018-02-06T15:14:44.171156Z"", ""gtiD"": ""240AC4F01E0286DC""}",67,1.5,9.05
17,240AC4F01E023C54,2018-02-06T15:14:44.313143Z,-40,7,"{""time"": ""2018-02-06T15:14:44.171156Z"", ""gtiD"": ""240AC4F01E0286DC""}",67,1.5,9.05
18,240AC4F01E023E3C,2018-02-06T15:14:44.730896Z,-54,6,"{""time"": ""2018-02-06T15:14:44.595761Z"", ""gtiD"": ""240AC4F01E023C54""}",67,4.58,9.05
19,240AC4F01E025FF4,2018-02-06T15:14:44.728177Z,-45,6,"{""time"": ""2018-02-06T15:14:44.595761Z"", ""gtiD"": ""240AC4F01E023C54""}",67,4.58,9.05
20,240AC4F01E0286DC,2018-02-06T15:14:44.728478Z,-40,6,"{""time"": ""2018-02-06T15:14:44.595761Z"", ""gtiD"": ""240AC4F01E023C54""}",67,4.58,9.05
21,240AC4F01E025FF4,2018-02-06T15:14:50.395087Z,-51,7,"{""time"": ""2018-02-06T15:14:50.261700Z"", ""gtiD"": ""240AC4F01E023E3C""}",67,0.33,0.66
22,240AC4F01E0286DC,2018-02-06T15:14:50.395490Z,-48,7,"{""time"": ""2018-02-06T15:14:50.261700Z"", ""gtiD"": ""240AC4F01E023E3C""}",67,0.33,0.66
23,240AC4F01E023C54,2018-02-06T15:14:50.400200Z,-52,6,"{""time"": ""2018-02-06T15:14:50.261700Z"", ""gtiD"": ""240AC4F01E023E3C""}",67,0.33,0.66
24,240AC4F01E023C54,2018-02-06T15:14:51.679209Z,-44,7,"{""time"": ""2018-02-06T15:14:51.536954Z"", ""gtiD"": ""240AC4F01E025FF4""}",67,4.58,0.55
